suspectible,exposed,infected,carrier,dead,recovered
985749,1726,3511,577,54,8383
985454,1738,3556,593,55,8604
985117,1787,3647,614,58,8777
984776,1845,3704,636,59,8980
984419,1900,3794,655,61,9171
984071,1919,3916,662,61,9371
983711,1993,3957,690,62,9587
983352,2017,4065,719,64,9783
983007,2036,4168,729,65,9995
982639,2075,4255,744,66,10221
982234,2147,4323,765,69,10462
981790,2229,4419,797,73,10692
981347,2304,4537,813,75,10924
980913,2347,4676,825,75,11164
980494,2383,4801,855,76,11391
980011,2503,4897,873,79,11637
979528,2582,5039,874,80,11897
979073,2641,5154,890,84,12158
978622,2643,5315,911,85,12424
978142,2686,5443,931,89,12709
977704,2655,5604,974,93,12970
977200,2742,5727,987,95,13249
976678,2802,5854,1005,99,13562
976181,2847,5983,1017,101,13871
975597,2991,6119,1014,103,14176
975065,3036,6244,1049,105,14501
974490,3113,6402,1058,107,14830
973909,3168,6575,1083,110,15155
973347,3225,6719,1106,113,15490
972732,3242,6914,1162,117,15833
972116,3299,7077,1198,120,16190
971503,3388,7209,1226,123,16551
970832,3500,7305,1267,127,16969
970133,3642,7432,1294,131,17368
969465,3740,7618,1297,133,17747
968782,3812,7798,1329,136,18143
968079,3884,7979,1354,140,18564
967391,3902,8189,1400,147,18971
966641,3993,8396,1428,151,19391
965909,4063,8583,1457,152,19836
965168,4139,8778,1494,154,20267
964368,4216,9027,1519,157,20713
963565,4333,9211,1555,160,21176
962710,4519,9422,1585,163,21601
961847,4593,9608,1624,166,22162
960982,4718,9819,1615,170,22696
960136,4772,10094,1644,176,23178
959295,4801,10334,1677,183,23710
958417,4842,10565,1717,189,24270
957538,4897,10783,1756,193,24833
956592,5007,11017,1801,200,25383
955676,5075,11242,1808,204,25995
954716,5135,11546,1814,208,26581
953755,5193,11811,1857,212,27172
952862,5205,12041,1928,215,27749
951875,5330,12226,1981,219,28369
950832,5496,12440,2016,223,28993
949813,5570,12698,2058,227,29634
948746,5671,12930,2101,232,30320
947729,5749,13154,2122,238,31008
946621,5890,13416,2153,241,31679
945509,6035,13609,2171,250,32426
944418,6117,13847,2187,252,33179
943195,6333,14092,2214,259,33907
942039,6434,14334,2240,269,34684
940856,6506,14671,2253,274,35440
939588,6645,14995,2316,279,36177
938331,6746,15271,2366,290,36996
937078,6829,15629,2404,297,37763
935796,6917,15969,2456,304,38558
934509,7008,16317,2495,313,39358
933212,7124,16590,2544,321,40209
931827,7271,16932,2603,326,41041
930497,7330,17281,2677,331,41884
929102,7422,17619,2719,338,42800
927642,7518,17976,2804,346,43714
926179,7672,18330,2832,352,44635
924721,7853,18545,2885,359,45637
923221,8043,18866,2932,371,46567
921723,8180,19165,2998,381,47553
920230,8229,19533,3060,393,48555
918630,8322,19939,3111,403,49595
